artist,artistCountry,regionGroup,diaspora
1T1,Guadeloupe,Caribbean,TRUE
1UCID,Ghana,West Africa,TRUE
1da Banton,Nigeria,West Africa,FALSE
2Point1,South Africa,Southern Africa,FALSE
2Rymce,Nigeria,West Africa,FALSE
3PWrLD,Nigeria,West Africa,FALSE
A.TEE,Unknown,Unknown,FALSE
ACHIBOY NJ,Cameroon,Central Africa,FALSE
AI AYEE,Nigeria,West Africa,FALSE
AOD,Nigeria,West Africa,FALSE
Aabiola,Nigeria,West Africa,FALSE
Ac Breeze,Canada,North America,FALSE
Achiboy Nj,Cameroon,Central Africa,FALSE
Adam Port,Germany,Western Europe,FALSE
Adekunle Gold,Nigeria,West Africa,FALSE
Adwoa,United States,North America,TRUE
Afro B,United Kingdom,Northern Europe,TRUE
Ama Grootman,South Africa,Southern Africa,FALSE
Ama Lur,Spain,Southern Europe,TRUE
Amaarae,Ghana,West Africa,TRUE
Amira Alaf,Ghana,West Africa,FALSE
Amos Ranking,Ghana,West Africa,FALSE
Andre Flowz,Nigeria,West Africa,FALSE
AndyDahBoss,Nigeria,West Africa,FALSE
Anuolu,Nigeria,West Africa,FALSE
Aperire Classic,Nigeria,West Africa,FALSE
Aracy Carvalho,Brazil,South America,TRUE
Aredikay,France,Western Europe,TRUE
Arosino,Nigeria,West Africa,FALSE
Asake,Nigeria,West Africa,FALSE
Aseri,Nigeria,West Africa,FALSE
Astrud C,Brazil,South America,TRUE
Audius,Zimbabwe,Southern Africa,FALSE
Auxiee,Nigeria,West Africa,FALSE
Aya Nakamura,France,Western Europe,TRUE
Ayo Maff,Nigeria,West Africa,FALSE
Ayra Starr,Nigeria,West Africa,FALSE
BIG Trilly,Ghana,West Africa,FALSE
BNXN,Nigeria,West Africa,FALSE
Babalwa M,South Africa,Southern Africa,FALSE
Bakaro,Nigeria,West Africa,FALSE
Ban Cruz,Nigeria,West Africa,FALSE
Banwo,Nigeria,West Africa,FALSE
Barakah The Prince,Tanzania,East Africa,FALSE
Bari Bentley,United Kingdom,Northern Europe,TRUE
Barry Jhay,Nigeria,West Africa,FALSE
Bassie,South Africa,Southern Africa,FALSE
Bayanni,Nigeria,West Africa,FALSE
Bella Shmurda,Nigeria,West Africa,FALSE
Bellestar,Nigeria,West Africa,FALSE
Ben Pol,Tanzania,East Africa,FALSE
Bene Bliss,Nigeria,West Africa,FALSE
Benniee,Nigeria,West Africa,FALSE
Beyoncé,United States,North America,TRUE
Bho Sew,United Kingdom,Northern Europe,TRUE
Bigiano,Nigeria,West Africa,FALSE
Bizzonthetrack,Nigeria,West Africa,FALSE
Black Sherif,Ghana,West Africa,FALSE
Blaqbonez,Nigeria,West Africa,FALSE
Bnxn,Nigeria,West Africa,FALSE
Bobo,Nigeria,West Africa,FALSE
Boi Drixx,Nigeria,West Africa,FALSE
Boi_Kodex,Nigeria,West Africa,FALSE
Boj,United Kingdom,Northern Europe,TRUE
Bolu Ajibade,Nigeria,West Africa,FALSE
Bouyce,Nigeria,West Africa,FALSE
BoyPee,Nigeria,West Africa,FALSE
Brav,France,Western Europe,TRUE
Burna Boy,Nigeria,West Africa,FALSE
Bushy B,United States,North America,TRUE
C3YC,Unknown,Unknown,FALSE
CIZA,South Africa,Southern Africa,FALSE
CKay,Nigeria,West Africa,FALSE
CLO VER,Nigeria,West Africa,FALSE
Caiiro,South Africa,Southern Africa,FALSE
Camidoh,Ghana,West Africa,FALSE
Capital F.E.M.I,Nigeria,West Africa,FALSE
Chamy,Unknown,Unknown,FALSE
Charlie Jeer,United Kingdom,Northern Europe,TRUE
Cheesy Vibes,Nigeria,West Africa,FALSE
Chella,Nigeria,West Africa,FALSE
Cheque,Nigeria,West Africa,FALSE
Chibby OG,Nigeria,West Africa,FALSE
Chike,Nigeria,West Africa,FALSE
Chris Brown,United States,North America,TRUE
Ciara,United States,North America,TRUE
Ckay,Nigeria,West Africa,FALSE
Connie Francis,United States,North America,FALSE
Craig David,United Kingdom,Northern Europe,TRUE
Crayon,Nigeria,West Africa,FALSE
D G,Nigeria,West Africa,FALSE
DEMOLA,Nigeria,West Africa,TRUE
DJ Boat,Ghana,West Africa,FALSE
DJ Malvado,Angola,Southern Africa,FALSE
DJ Maphorisa,South Africa,Southern Africa,FALSE
DJ Michel,South Africa,Southern Africa,FALSE
DJ Stokie,South Africa,Southern Africa,FALSE
DJ Tunez,United States,North America,TRUE
Dabright,Nigeria,West Africa,FALSE
Dadju,France,Western Europe,TRUE
Dammyy,Nigeria,West Africa,FALSE
Daniel Winans,United States,North America,TRUE
Darkoo,United Kingdom,Northern Europe,TRUE
Dave,United Kingdom,Northern Europe,TRUE
Dave Kvngz,Nigeria,West Africa,FALSE
David Hernandez,United States,North America,FALSE
Davido,Nigeria,West Africa,FALSE
De Gold,Nigeria,West Africa,FALSE
De Mthuda,South Africa,Southern Africa,FALSE
Deep London,South Africa,Southern Africa,FALSE
Deola,Nigeria,West Africa,TRUE
Dinycee,Nigeria,West Africa,FALSE
Dj Boat,Ghana,West Africa,FALSE
Dj Hacord,Nigeria,West Africa,FALSE
Dj Jaivane,South Africa,Southern Africa,FALSE
Djinee,Nigeria,West Africa,FALSE
Dlala Thukzin,South Africa,Southern Africa,FALSE
Don & Gene,United States,North America,TRUE
Don Toliver,United States,North America,TRUE
Drake,Canada,North America,TRUE
Drela,Nigeria,West Africa,FALSE
Dual Sessions,Canada,North America,TRUE
Dualbox,Brazil,South America,TRUE
Duma,Kenya,East Africa,FALSE
Dxtiny,Nigeria,West Africa,FALSE
Eboss,Nigeria,West Africa,FALSE
Eccko,Nigeria,West Africa,FALSE
Ed Sheeran,United Kingdom,Northern Europe,TRUE
Eddie Neblett,Guyana,South America,TRUE
Edoseed,Nigeria,West Africa,FALSE
Edword,Unknown,Unknown,FALSE
Emali,Unknown,Unknown,FALSE
Emmovich,Nigeria,West Africa,FALSE
Emotional Oranges,United States,North America,TRUE
Enakeno,Nigeria,West Africa,FALSE
Escape Deep,South Africa,Southern Africa,FALSE
Eternal Trip,France,Western Europe,TRUE
F Jay,Zambia,Southern Africa,FALSE
FOLA,Nigeria,West Africa,FALSE
Faceless,Ghana,West Africa,FALSE
Fally Ipupa,Democratic Republic of the Congo,Central Africa,FALSE
Famous Pluto,Nigeria,West Africa,FALSE
Felo Le Tee,South Africa,Southern Africa,FALSE
Fido,Ghana,West Africa,FALSE
Fireboy DML,Nigeria,West Africa,FALSE
Fireboy Dml,Nigeria,West Africa,FALSE
Fitzy West,Nigeria,West Africa,FALSE
Focalistic,South Africa,Southern Africa,FALSE
Fola,Nigeria,West Africa,FALSE
Franglish,France,Western Europe,TRUE
Frederick Young,United States,North America,TRUE
Frederson Joseph,Haiti,Caribbean,TRUE
Frenna,Netherlands,Western Europe,TRUE
Freshtwax1,Nigeria,West Africa,FALSE
Future Soundscapes,United States,North America,TRUE
GEM-SNAZZY,Nigeria,West Africa,FALSE
Garvicii,Nigeria,West Africa,FALSE
General Soundbwoy,Ghana,West Africa,FALSE
Gilberto Mota,Brazil,South America,TRUE
Golden Smirk,United Kingdom,Northern Europe,TRUE
Good Nation,France,Western Europe,TRUE
Goon Flavour,South Africa,Southern Africa,FALSE
Guchi,Nigeria,West Africa,FALSE
Gunna,United States,North America,FALSE
H.A.L.O.,Kenya,East Africa,FALSE
HENNY C,South Africa,Southern Africa,FALSE
Highermandu,Nigeria,West Africa,FALSE
Hyce,Nigeria,West Africa,FALSE
Hypnomusic,South Africa,Southern Africa,FALSE
Iceking Ochacho,Nigeria,West Africa,FALSE
Ika prince,Nigeria,West Africa,FALSE
Issa sisdoh,Botswana,Southern Africa,FALSE
Izrael,Unknown,Unknown,FALSE
J Hus,United Kingdom,Northern Europe,TRUE
JAZZWRLD,South Africa,Southern Africa,FALSE
Jarahn,Unknown,Unknown,FALSE
Jeady Jay,France,Western Europe,TRUE
JoBlaq,Nigeria,West Africa,FALSE
Joeboy,Nigeria,West Africa,FALSE
Johnny Drille,Nigeria,West Africa,FALSE
Jott.aj,Nigeria,West Africa,FALSE
Joé Dwèt Filé,France,Western Europe,TRUE
Judy,Unknown,Unknown,FALSE
Jungeli,Congo,Central Africa,FALSE
K Sean,Nigeria,West Africa,FALSE
KAESTYLE,Nigeria,West Africa,FALSE
KCee,Nigeria,West Africa,FALSE
KMAT,South Africa,Southern Africa,FALSE
KUTHATHU,South Africa,Southern Africa,FALSE
Kabza De Small,South Africa,Southern Africa,FALSE
Kaestyle,Nigeria,West Africa,FALSE
Kamo Mphela,South Africa,Southern Africa,FALSE
Kdee vibez,Nigeria,West Africa,FALSE
KeBlack,France,Western Europe,TRUE
Keith Sweat,United States,North America,TRUE
Kel-p,Nigeria,West Africa,FALSE
Kelvin Momo,South Africa,Southern Africa,FALSE
Kendickson,Nigeria,West Africa,FALSE
Khadeair,Unknown,Unknown,FALSE
Khaid,Nigeria,West Africa,FALSE
